,UniqueID,,Course,
,26,,CPSC203,
,26,,ECON201,
,26,,ECON203,
,26,,ENCM339,
,26,,ENCM369,
,26,,ENCM467,
,26,,ENEL107,
,26,,ENEL327,
,26,,ENEL341,
,26,,ENEL343,
,26,,ENEL353,
,26,,ENEL361,
,26,,ENEL419,
,26,,ENEL441,
,26,,ENEL453,
,26,,ENEL469,
,26,,ENEL471,
,26,,ENEL475,
,26,,ENEL476,
,26,,ENEL487,
,26,,ENEL519,
,26,,ENEL541,
,26,,ENEL569,
,26,,ENEL583,
,26,,ENEL585,
,26,,ENEL589,
,26,,ENEL593,
,26,,ENEL597,
,26,,ENGG201,
,26,,ENGG205,
,26,,ENGG209,
,26,,ENGG233,
,26,,ENGG251,
,26,,ENGG253,
,26,,ENGG407,
,26,,ENGG513,
,26,,ENGL231,
,26,,ENGL239,
,26,,MATH251,
,26,,MATH311,
,26,,MATH331,
,26,,PHIL313,
,26,,PHYS221,
,26,,PHYS223,
,26,,PHYS259,
,26,,PHYS321,
,26,,PHYS369,
,26,,PSYC205,
,26,,PSYC351,
,26,,PSYC369,
,26,,STAS341,
,26,,STAT213,
,27,,ACCT323,
,27,,ACCT341,
,27,,ACCT343,
,27,,ACCT361,
,27,,ACCT421,
,27,,ACCT425,
,27,,ACCT465,
,27,,ARKY325,
,27,,BCEM393,
,27,,BCEM443,
,27,,BIOL231,
,27,,BIOL233,
,27,,BIOL311,
,27,,BIOL313,
,27,,BIOL331,
,27,,BSEN291,
,27,,BSEN395,
,27,,CHEM201,
,27,,CHEM203,
,27,,CHEM351,
,27,,CHEM353,
,27,,CHIN205,
,27,,CMMB343,
,27,,CMMB403,
,27,,CMMB411,
,27,,CMMB413,
,27,,CMMB431,
,27,,CMMB507,
,27,,CMMB527,
,27,,CMMB528,
,27,,CMMB528A,
,27,,CMMB561,
,27,,COMS363,
,27,,COMS401,
,27,,CPSC203,
,27,,ECON201,
,27,,ECON203,
,27,,ECON341,
,27,,ENGL231,
,27,,ENGL399,
,27,,ENTI381,
,27,,FNCE317,
,27,,FNCE451,
,27,,HROD317,
,27,,MATH251,
,27,,MGIS317,
,27,,MGST391,
,27,,MGST493,
,27,,MGST495,
,27,,MKTG317,
,27,,OPMA317,
,27,,PHYS221,
,27,,PHYS223,
,27,,SGMA591,
,27,,STAT213,
,27,,STAT217,
,28,,ACCT323,
,28,,ANTH203,
,28,,ASTR209,
,28,,BIOL205,
,28,,BSEN291,
,28,,BSEN395,
,28,,CPSC203,
,28,,ECON201,
,28,,ECON203,
,28,,ECON301,
,28,,ENGL231,
,28,,ENGL239,
,28,,FILM201,
,28,,FNCE317,
,28,,GRST205,
,28,,GRST335,
,28,,HROD317,
,28,,MATH251,
,28,,MGIS317,
,28,,MGST391,
,28,,OPMA317,
,28,,PHIL259,
,28,,POLI381,
,28,,PSYC205,
,28,,PSYC312,
,28,,PSYC312A,
,28,,PSYC345,
,28,,PSYC351,
,28,,PSYC365,
,28,,PSYC375,
,28,,PSYC383,
,28,,RELS203,
,28,,SOCI201,
,28,,SOCI325,
,28,,SOCI341,
,28,,SOCI345,
,28,,STAT213,
,29,,AMAT217,
,29,,AMAT219,
,29,,AMAT307,
,29,,AMAT309,
,29,,CHEM209,
,29,,COMS363,
,29,,ECON201,
,29,,ECON209,
,29,,ENCM339,
,29,,ENCM369,
,29,,ENEE503,
,29,,ENEE577,
,29,,ENEL107,
,29,,ENEL327,
,29,,ENEL341,
,29,,ENEL343,
,29,,ENEL353,
,29,,ENEL361,
,29,,ENEL441,
,29,,ENEL453,
,29,,ENEL471,
